doi:10.7910/DVN/BPON3K	29	16	fig_6_nominations.R;fig_13_plot_loyalty_df_pct.R;tab_1_summary_stats.R;fig_2_fig_4_party_switching.R;fig_12_historical_trend.R;tab_5_LATE_change_attrition.R;fig_10_effect_of_winning_on_gov.R;fig_9_effect_of_winning_on_state_congress.R;tab_2_balance_test_before_court_decision.R;tab_8_campaign_donations.R;tab_14_LATE_placebo.R;codebook.pdf;fig_5_tab_7_rd_robust_estimations.R;tab_12_LATE_de.R;README.txt;tab_6_LATE_df.R;tab_10_LATE_re_nominations.R;campaign_contributions.RData;tab_3_balance_test_after_court_decision.R;tab_9_LATE_nominations_overall.R;fig_11_rd_placebo.R;complete_dataset.RData;tab_4_LATE_change.R;fig_14_effect_on_individual_parties.R;fig_8_losing_council.R;tab_11_LATE_nominations_diff_party.R;fig_7_party_switching_by_party_VEREADORES.R;disloyalty_scatterplot.RData;tab_15_incumbency_party_switching.R;mayor_vereadores.RData;fig_3_effect_of_winning_on_federal_congress.R;vereadores_figure.RData;tab_13_LATE_gov.R;career.RData	2623592
doi:10.7910/DVN/JXXNDO	140	0	wgi_GE_2013.csv;WGI_conv.R;wgi_RoL_2013.csv;wgi_VaA_2013.csv;ReadMe_MS2718.pdf;wgi_CoC_2013.csv;PMR.csv;wgi_RQ_2013.csv;Bus_Reg_conv.R;DB14-Distance-to-Frontier-dataset.csv;wgi_PSNV_2013.csv	1402198
doi:10.7910/DVN/NVRBC9	225	18	Lueders_et al_2017_driverslicenses_replicationcode_final.R;vcovCluster.R;Lueders_et al_2017_driverslicenses_replication.dta	451812
doi:10.7910/DVN/FXKA3J	2	0	Tweet.R	1669
doi:10.7910/DVN/WCTILJ	21	2	Dataset.tab;Script.R	28478
doi:10.7910/DVN/O3ETO9	17	8	jose-galdino-text-tf-ad-ufpe-2018.docx;jose-galdino-bd1-tf-ad-ufpe-2018.csv;jose-galdino-bd2-tf-ad-ufpe-2018.csv;jose-galdino-script-tf-ad-ufpe-2018.R	889235
doi:10.7910/DVN/LRSICH	48	5	TableA29Figure7_4_data.csv;TableA28.r;TableA27_data.csv;TableA26_data.csv;TableA28_data.csv;Chapter7Master.r;TableA29Figure7_4.r;TableA30_data.csv;TableA30.r;README.txt;TableA26.r;TableA27.r	184784
doi:10.7910/DVN/TKTN5J	305	11	NastyAid Appendix.pdf;0_Run It All.R;x_Auxiliary Functions.R;Screenshot-1.png;7_LR dependence.R;2_Run eBal.R;1_Prep the data.R;4_Exp Regressions.R;5_Make coefficient graph.R;AP - Multigrid.R;6_Make effects graphs.R;conjoint_export_mapping.txt;3_NonExp Regressions.R;Data Export 2014_08_21.csv;Modified CCES Data.Rdata	1532087
doi:10.7910/DVN/KKS1R0	415	14	per_1980_Belaunde.txt;per_1985_Belaunde.txt;arg_2001_Rua.txt;slv_2005_Saca.txt;ury_2011_Mujica.txt;ury_2009_Vazquez.txt;pry_2009_Lugo.txt;bra_1987_Sarney.txt;bra_1993_Franco.txt;col_1996_Samper.txt;ven_2009_Chavez.txt;chi_2003_Lagos.txt;pry_2000_Gonzalez.txt;cri_1993_Calderon.txt;cri_1984_Monge.txt;chi_2011_Pinera.txt;col_2001_Pastrana.txt;mex_2012_Calderon.txt;cri_1989_Arias.txt;col_2012_Santos.txt;arg_2002_Duhalde.txt;arg_1992_Menem.txt;cri_2013_Chinchilla.txt;mex_1992_Salinas.txt;ecu_1982_Hurtado.txt;col_1999_Pastrana.txt;col_1993_Gaviria.txt;ecu_2012_Correa.txt;ecu_1994_DuranBallen.txt;cri_1996_Figueres.txt;bra_2014_Dilma.txt;arg_2004_Kirchner.txt;ury_2008_Vazquez.txt;ep_idealpoints_and_errors_bayes80.R;col_2006_Uribe.txt;mex_2001_Fox.txt;per_1982_Belaunde.txt;col_2009_Uribe.txt;cri_1994_Calderon.txt;mex_2003_Fox.txt;per_1988_Garcia.txt;mex_2008_Calderon.txt;pry_1992_Rodriguez.txt;bra_1995_FHC.txt;cri_2010_Arias.txt;cri_2005_Pacheco.txt;pry_1995_Wasmosy.txt;chi_1993_Aylwin.txt;mex_1997_Zedillo.txt;arg_1995_Menem.txt;col_1994_Gaviria.txt;ven_1998_Caldera.txt;mex_2013_Pena.txt;ven_2014_Maduro.txt;per_1996_Fujimori.txt;per_1997_Fujimori.txt;bra_1996_FHC.txt;arg_1996_Menem.txt;per_1987_Garcia.txt;per_1991_Fujimori.txt;ven_2010_Chavez.txt;chi_2013_Pinera.txt;col_2000_Pastrana.txt;cri_1990_Arias.txt;chi_2004_Lagos.txt;per_2002_Toledo.txt;bra_2009_Lula.txt;wfm_filter.R;cri_2006_Pacheco.txt;bra_2008_Lula.txt;ecu_1990_Borja.txt;ADW_positions_master.r;mex_1994_Salinas.txt;ven_1996_Caldera.txt;gtm_2003_Portillo.txt;pry_2008_Duarte.txt;gtm_2014_PerezMolina.txt;cri_1995_Figueres.txt;arg_2003_Duhalde.txt;ury_2012_Mujica.txt;slv_2011_Funes.txt;ecu_2008_Correa.txt;slv_1998_CalderonSol.txt;col_1997_Samper.txt;bra_1991_Collor.txt;slv_1995_CalderonSol.txt;arg_2000_Rua.txt;ecu_1993_DuranBallen.txt;ecu_1998_Alarcon.txt;slv_2002_Flores.txt;pry_2007_Duarte.txt;ury_2007_Vazquez.txt;pry_2002_Gonzalez.txt;ecu_1987_FebresCordero.txt;cri_2002_Rodriguez.txt;arg_2008_Kirchner_Cris.txt;cri_2004_Pacheco.txt;bra_2012_Dilma.txt;gtm_2005_Berger.txt;ven_2008_Chavez.txt;mex_2006_Fox.txt;col_2008_Uribe.txt;chi_2012_Pinera.txt;arg_1990_Menem.txt;ven_1992_Perez.txt;preparing_speeches_file.R;mex_2000_Zedillo.txt;arg_2006_Kirchner.txt;cri_2009_Arias.txt;per_2008_Garcia.txt;ecu_2009_Correa.txt;arg_2014_Kirchner_Cris.txt;chi_1997_Frei.txt;ury_2005_Batlle.txt;chi_1995_Frei.txt;bra_2006_Lula.txt;col_2005_Uribe.txt;per_2005_Toledo.txt;pry_2004_Duarte.txt;mex_1989_Salinas.txt;chi_2007_Bachelet.txt;col_2004_Uribe.txt;ecu_2011_Correa.txt;col_2013_Santos.txt;ven_1995_Caldera.txt;cri_1987_Arias.txt;bra_1992_Collor.txt;slv_1997_CalderonSol.txt;per_1984_Belaunde.txt;chi_2005_Lagos.txt;chi_2009_Bachelet.txt;arg_1999_Menem.txt;per_2006_Toledo.txt;bra_2005_Lula.txt;chi_2001_Lagos.txt;pry_1993_Rodriguez.txt;mex_1996_Zedillo.txt;per_1998_Fujimori.txt;ven_2004_Chavez.txt;per_2010_Garcia.txt;bra_2007_Lula.txt;ecu_1999_Mahuad.txt;data_management_textfiles.R;per_1989_Garcia.txt;cri_1985_Monge.txt;mex_1993_Salinas.txt;slv_2007_Saca.txt;per_2012_Humala.txt;ecu_2005_Gutierrez.txt;chi_2000_Lagos.txt;mex_1995_Zedillo.txt;bra_2004_Lula.txt;ven_2007_Chavez.txt;ecu_2010_Correa.txt;ven_2012_Chavez.txt;ecu_1991_Borja.txt;ecu_2000_Mahuad.txt;pry_1999_Gonzalez.txt;bra_2011_Dilma.txt;ven_2011_Chavez.txt;ven_1991_Perez.txt;col_2011_Santos.txt;bra_1989_Sarney.txt;bra_2000_FHC.txt;ecu_1989_Borja.txt;pry_2005_Duarte.txt;bra_1994_Franco.txt;arg_1991_Menem.txt;ecu_2001_Noboa.txt;posteriorchecks.R;slv_2006_Saca.txt;slv_2000_Flores.txt;chi_1996_Frei.txt;arg_1994_Menem.txt;ven_1990_Perez.txt;pry_2006_Duarte.txt;pry_2011_Lugo.txt;bra_2010_Lula.txt;data_bayes_out.R;mex_1990_Salinas.txt;mex_2009_Calderon.txt;bra_1988_Sarney.txt;cri_1992_Calderon.txt;mex_2011_Calderon.txt;cri_2000_Rodriguez.txt;gtm_2002_Portillo.txt;cri_2007_Arias.txt;plots_positions_bayes.R;arg_2007_Kirchner.txt;slv_2012_Funes.txt;per_2001_Paniagua.txt;pry_2003_Gonzalez.txt;col_1995_Samper.txt;col_2003_Uribe.txt;ven_1987_Lusinchi.txt;cri_2012_Chinchilla.txt;per_1986_Garcia.txt;mex_2007_Calderon.txt;per_2000_Fujimori.txt;arg_2013_Kirchner_Cris.txt;gtm_2012_Colom.txt;pry_2001_Gonzalez.txt;mex_2010_Calderon.txt;arg_1998_Menem.txt;JOP_Replication.do;ven_1989_Lusinchi.txt;cri_1997_Figueres.txt;as_mcmc.R;col_1998_Samper.txt;chi_1999_Frei.txt;pry_1994_Wasmosy.txt;bra_2002_FHC.txt;ury_2002_Batlle.txt;ven_1988_Lusinchi.txt;per_1981_Belaunde.txt;arg_1997_Menem.txt;slv_2001_Flores.txt;ep_jags_functions.R;gtm_2006_Berger.txt;bra_1986_Sarney.txt;pry_1997_Wasmosy.txt;ADW_JOP_Replication_Data.dta;chi_2002_Lagos.txt;README_JOP_ADW.txt;gtm_2007_Berger.txt;col_2007_Uribe.txt;ven_2001_Chavez.txt;gtm_1999_Arzu.txt;pry_2010_Lugo.txt;slv_2003_Flores.txt;gtm_2009_Colom.txt;ecu_1992_Borja.txt;arg_2011_Kirchner_Cris.txt;arg_2010_Kirchner_Cris.txt;col_2014_Santos.txt;arg_2012_Kirchner_Cris.txt;per_1983_Belaunde.txt;per_1999_Fujimori.txt;per_2003_Toledo.txt;ven_2006_Chavez.txt;slv_2010_Funes.txt;arg_2009_Kirchner_Cris.txt;cri_2008_Arias.txt;chi_2008_Bachelet.txt;per_2009_Garcia.txt;ury_2010_Vazquez.txt;gtm_2000_Arzu.txt;col_2002_Pastrana.txt;ury_2004_Batlle.txt;ven_1997_Caldera.txt;slv_1996_CalderonSol.txt;chi_1992_Aylwin.txt;mex_2005_Fox.txt;bra_1990_Sarney.txt;gtm_2013_PerezMolina.txt;col_1992_Gaviria.txt;ecu_2007_Palacio.txt;bra_1997_FHC.txt;mex_2004_Fox.txt;per_1990_Garcia.txt;cri_1986_Monge.txt;pry_1998_Wasmosy.txt;mex_1999_Zedillo.txt;gtm_2004_Portillo.txt;ven_2003_Chavez.txt;ven_2005_Chavez.txt;ven_1993_Perez.txt;bra_2003_Lula.txt;mex_1991_Salinas.txt;col_1991_Gaviria.txt;cri_2001_Rodriguez.txt;chi_1998_Frei.txt;gtm_2008_Berger.txt;ecu_1986_FebresCordero.txt;mex_1998_Zedillo.txt;mex_2002_Fox.txt;slv_2008_Saca.txt;cri_1988_Arias.txt;per_2007_Garcia.txt;bra_1998_FHC.txt;ecu_1985_FebresCordero.txt;cri_1999_Rodriguez.txt;ecu_2006_Palacio.txt;arg_2005_Kirchner.txt;bra_2013_Dilma.txt;slv_2013_Funes.txt;cri_1991_Calderon.txt;bra_1999_FHC.txt;ury_2006_Vazquez.txt;prepare_data_set.R;ven_2002_Chavez.txt;arg_1993_Menem.txt;ecu_1997_Alarcon.txt;ecu_1996_DuranBallen.txt;gtm_2001_Portillo.txt;cri_1998_Figueres.txt;save_data_bayes.R;bra_2001_FHC.txt;cri_2003_Pacheco.txt;gtm_2010_Colom.txt;pry_1996_Wasmosy.txt;preparing_speeches_function.R;ury_2003_Batlle.txt;per_2004_Toledo.txt;chi_1990_Aylwin.txt;chi_2010_Pinera.txt;chi_1994_Frei.txt;ury_2001_Batlle.txt;col_2010_Uribe.txt;cri_2011_Chinchilla.txt;cri_1983_Monge.txt;ecu_1988_FebresCordero.txt;chi_1991_Aylwin.txt;ecu_2002_Noboa.txt;ecu_1984_Hurtado.txt;per_2013_Humala.txt;ven_1999_Caldera.txt;gtm_2011_Colom.txt;ecu_2004_Gutierrez.txt;ecu_1983_Hurtado.txt;chi_2006_Bachelet.txt	18911323
doi:10.7910/DVN/MDAHHQ	40	2	us-states.csv;covid19_case_distriution_case_fatality_us.csv;WPP2019_PopulationByAgeSex_Medium.csv;calculate_total_covid19_deaths_usa.R	118606974
