doi:10.7910/DVN/WGPDBS	Replication_of_Figures.R	success
doi:10.7910/DVN/BPON3K	fig_10_effect_of_winning_on_gov.R	Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'
doi:10.7910/DVN/BPON3K	fig_11_rd_placebo.R	success
doi:10.7910/DVN/BPON3K	fig_12_historical_trend.R	success
doi:10.7910/DVN/BPON3K	fig_13_plot_loyalty_df_pct.R	Error in data.table(x) : object 'x' not found
doi:10.7910/DVN/BPON3K	fig_14_effect_on_individual_parties.R	success
doi:10.7910/DVN/BPON3K	fig_2_fig_4_party_switching.R	success
doi:10.7910/DVN/BPON3K	fig_3_effect_of_winning_on_federal_congress.R	success
doi:10.7910/DVN/BPON3K	fig_5_tab_7_rd_robust_estimations.R	Error in rdrobust(y = tres$change, x = tres$margin, all = T) :   could not find function 'rdrobust'
doi:10.7910/DVN/BPON3K	fig_6_nominations.R	success
doi:10.7910/DVN/BPON3K	fig_7_party_switching_by_party_VEREADORES.R	success
doi:10.7910/DVN/BPON3K	fig_8_losing_council.R	success
doi:10.7910/DVN/BPON3K	fig_9_effect_of_winning_on_state_congress.R	success
doi:10.7910/DVN/BPON3K	tab_10_LATE_re_nominations.R	success
doi:10.7910/DVN/BPON3K	tab_11_LATE_nominations_diff_party.R	success
doi:10.7910/DVN/BPON3K	tab_12_LATE_de.R	success
doi:10.7910/DVN/BPON3K	tab_13_LATE_gov.R	success
doi:10.7910/DVN/BPON3K	tab_14_LATE_placebo.R	success
doi:10.7910/DVN/BPON3K	tab_15_incumbency_party_switching.R	Error in texreg(list(lm_2000, lm_2004, lm_2008), dcolumn = TRUE, booktabs = TRUE,  :   could not find function 'texreg'
doi:10.7910/DVN/BPON3K	tab_1_summary_stats.R	Error in tableContinuous(vars = vars, stats = c('mean', 's', 'median',  :   could not find function 'tableContinuous'
doi:10.7910/DVN/BPON3K	unknown	time limit exceeded
doi:10.7910/DVN/ZWAGXZ	Study 2 Plots REPLICATION.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	Study 3 Plots REPLICATION.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	balance test REPLICATION.r	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	experiment 1 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/ZWAGXZ	experiment 2 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/ZWAGXZ	experiment 3 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/NVRBC9	Lueders_et al_2017_driverslicenses_replicationcode_final.R	Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file
doi:10.7910/DVN/NVRBC9	vcovCluster.R	success
doi:10.7910/DVN/FXKA3J	Tweet.R	Error in setup_twitter_oauth(api_key, api_secret, access_token, access_token_secret) :    could not find function \setup_twitter_oauth\""
doi:10.7910/DVN/WCTILJ	Script.R	Error : `path` does not exist: 'diretrio'
doi:10.7910/DVN/LRSICH	Chapter7Master.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA26.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA27.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA28.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA29Figure7_4.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA30.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/QKP9EJ	code2.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code3.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code5.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code7.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	code8.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/QKP9EJ	fine_grid.R	success
doi:10.7910/DVN/QKP9EJ	summarySE.R	success
doi:10.7910/DVN/XRBKEY	josematheus-medeiros-script-tf-ad-ufpe-2018.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/CT9AFP	unknown	time limit exceeded
doi:10.7910/DVN/IJKAUR	water_energy_replication_code.R	Error in loadNamespace(name) : there is no package called ‘pacman’ Calls: :: ... loadNamespace -> withRestarts -> withOneRestart -> doWithOneRestart
doi:10.7910/DVN/A3NO2G	danish.speech.analysis.R	Error in corpus_subset(corpus, country == 'DK') :   could not find function 'corpus_subset'
doi:10.7910/DVN/A3NO2G	dutch.speech.analysis.R	Error in corpus_subset(corpus, country == 'NL') :   could not find function 'corpus_subset'
doi:10.7910/DVN/A3NO2G	unknown	time limit exceeded
doi:10.7910/DVN/XRR0HM	lda_analysis.R	Error in factorial_preprocessing(documents, parallel = TRUE, cores = 20) :   could not find function 'factorial_preprocessing'
doi:10.7910/DVN/XRR0HM	preprocess_data_and_generate_pretext_results.R	Error in factorial_preprocessing(documents) :   could not find function 'factorial_preprocessing'
doi:10.7910/DVN/XRR0HM	wordfish_analysis.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/XRR0HM	wordfish_model_averaging.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/XRR0HM	wordfish_rank_plot_apriori_ordering.R	success
doi:10.7910/DVN/HXNVTQ	usa-decomp-plots.R	Error in read.dta('age-race.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/SNQG8P	naes_ft.r	Error in cem(treatment = 'window14', data = matching.data, drop = c('window10',  :   could not find function 'cem'
doi:10.7910/DVN/FAH6KL	Visconti (2018) - LegislativeRepresentation.R	Error in read.dta('Your/File/Path/Here/ReplicationFiles/dataset.dta') :   unable to open file: 'No such file or directory'
doi:10.7910/DVN/VT4KJA	ivsensianalysis.R	Error in read.dta13('MNCs&Corruption.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/8OKVHY	mdr_politicization_appendix_figures.R	Error in read.dta13('Data/mdr/expertise_paper/SFGSII_mdr_exp_paper_forR.dta',  :   could not find function 'read.dta13'
doi:10.7910/DVN/8OKVHY	mdr_politicization_jop_bootstrap_figures.R	Error in data[data$sample_inv_outside_exp == 1, ] :   incorrect number of dimensions
doi:10.7910/DVN/8OKVHY	mdr_politicization_jop_mission_coding.R	Error in read.xlsx2(file = 'C:/Users/richar33/Dropbox/Papers/expertise/budget_missions/function_subfunction.xlsx',  :   could not find function 'read.xlsx2'
doi:10.7910/DVN/8OKVHY	mdr_politicization_rep_dem_barplots.R	Error in table(x$rep, x$pol_app1) :   all arguments must have the same length
doi:10.7910/DVN/FTYHPJ	PartisanSymMeasures.analysis.R	Error in font_install('fontcm') : could not find function 'font_install'
doi:10.7910/DVN/FTYHPJ	PartisanSymMeasures.functions.R	success
doi:10.7910/DVN/J9IJGM	study1-analysis.R	Error in apsrtable(all.model.number, all.model.number.weighted, all.model.number.dem,  :   could not find function 'apsrtable'
doi:10.7910/DVN/J9IJGM	study1and2demographics.R	success
doi:10.7910/DVN/J9IJGM	study1and2reweighting.R	Error in read.dta13('anes_timeseries_2016.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/J9IJGM	unknown	time limit exceeded
doi:10.7910/DVN/N0ZRDZ	FigureA8.R.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/ERMN4H	replication code.R	Error in p_load(haven, rio, srvyr, survey, foreign, MASS, zeligverse,  :   could not find function 'p_load'
