doi:10.7910/DVN/XFQZI2	Condemnation.R	Error in eval(expr, envir, enclos) : could not find function 'read.dta13'
doi:10.7910/DVN/WGPDBS	Replication_of_Figures.R	success
doi:10.7910/DVN/BPON3K	fig_10_effect_of_winning_on_gov.R	Error in diag(vcovHC(DMareg, type = 'HC3')) :   could not find function 'vcovHC'
doi:10.7910/DVN/BPON3K	fig_11_rd_placebo.R	Error in ggsave('placebo.pdf', plot = placebo, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot
doi:10.7910/DVN/BPON3K	fig_12_historical_trend.R	Error in ggsave('historical_trend.pdf', plot = historical_trend, device = 'pdf',  :   could not find function 'device'
doi:10.7910/DVN/BPON3K	fig_13_plot_loyalty_df_pct.R	Error in data.table(x) : object 'x' not found
doi:10.7910/DVN/BPON3K	fig_14_effect_on_individual_parties.R	Error in eval(expr, envir, enclos) :   could not find function 'theme_tufte'
doi:10.7910/DVN/BPON3K	fig_2_fig_4_party_switching.R	Error in ggsave('rd_change.pdf', plot = rd_change, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot
doi:10.7910/DVN/ZWAGXZ	balance test REPLICATION.r	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	experiment 1 analysis REPLICATION.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	experiment 2 analysis REPLICATION.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	experiment 3 analysis REPLICATION.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/NVRBC9	Lueders_et al_2017_driverslicenses_replicationcode_final.R	Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file
doi:10.7910/DVN/NVRBC9	vcovCluster.R	success
doi:10.7910/DVN/WCTILJ	Script.R	Error in ifelse(!require(readxl), install.packages('readxl', dependencies = TRUE),  :   replacement has length zero
doi:10.7910/DVN/LRSICH	Chapter7Master.r	Error in apply(estfun(fm), 2, function(x) tapply(x, cluster, sum)) :   could not find function 'estfun'
